qid,qstr,candidates,cnt
612,quality of life,"['EZB2553', 'AGRICOLACAT89926334', 'NLM9208308', 'NLM9310853', 'AGRISUS201600313687', 'AGRISES2010A03614', 'AGRISXF2015017146', 'NLM101313787', 'AGRICOLACAT30953692', 'M10959273', 'M7869548', 'M7869549', 'ETHMED0004022', 'BASE::ftwhoiris:oai:localhost:10665/54358', 'TIB119539039', 'TIB043433820', 'NLM9210257', 'HECLINETHN105860', '421347', '333374', 'ZBSPORT012985132', 'BASE::ftwhoiris:oai:apps.who.int:10665/54358', 'AGRICOLACAT30953365', 'M27372950', 'AGRISFI2016000060', 'EZB31672', 'EZB81942', 'EZB41782', 'EZB225451', 'EZB179196', 'TIB129189421', 'SKH221347054', 'TIB250282267', 'TIB167220500', 'ZBW022783938', 'AGRISXF2016022013', 'ULIDAT02029432', 'ULIDAT02062184', 'EZB249339', 'AGRISXF2015027213', '370760', '568057', 'ZBW168936925', '594209', 'M1301112', 'M7780385', 'SVM360059651', 'ZBW656625007', 'NLM101671473', 'ETHMED0002270', 'AGRICOLACAIN759030485', 'AGRICOLAIND93034101', 'BASE::ftwhoiris:oai:localhost:10665/44936', 'AGRICOLACAT89242910', 'NLM8101880', 'NLM8309281', 'NLM9101120', 'NLM8917103', 'NLM9105495', 'NLM9214250', 'NLM9436102', 'NLM9603993', 'NLM9442310', 'NLM101184188', 'NLM101142442', 'NLM101259083', 'NLM101598960', 'SKH026126117', 'SKH390248800', 'SKH552056731', 'SKH197538991', 'TIB165546794', 'ZBW625828410', 'ETHMED14773', 'ETHMED0000470', 'M8345735', 'M1019612', 'M1857989', 'M3476333', 'M280984', 'M257509', 'TIB757288200', 'TIB757306659', 'TIB769201458', 'ZBW79666952X', 'ZBW022030417', '396026', '129957', '240386', 'M1926636', 'M25218404', 'M1050994', 'M1039033', 'M284640', 'M2741092', 'M6924866', 'BASE::ftwhoiris:oai:apps.who.int:10665/44936', 'M16130434', 'M2913193', 'M7623592']",100
613,labordiagnostik,"['C952045747', 'C812255', 'C817483', 'C777292', 'SVM365048178', 'BASE::ftopenagrar:oai:openagrar.bmel-forschung.de:openagrar_mods_00004630', 'FLI024424013', 'C780039', 'C952012684', 'C564457', 'C577925', 'C806269', 'C951846788', 'C951952479', 'C670421', 'C951834583', 'C793761', 'C951825655', 'C952440595', 'C33172', 'C524985', 'C587480', 'NLM9006585', 'SKH024424013', 'SKH153203714', 'SKH330013912', 'SKH33236769X', 'C952340995', 'C952229342', 'C952313415', 'FLI023738839', 'MRI023738839', 'SVM023738839', 'SVM024424013', '575896', '105509', '47254', 'C952116825', 'C952453582', 'C952484549', 'THIEME10_1055_s_0034_1368694', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00004630', 'C952289468', 'C952354939', 'C718255', 'C649090', 'C952248946', 'C952235219', 'C952235223', 'C952221189', 'C952286194', 'C952270844', 'C952328519', 'C952351456', 'C952228331', 'C951966707', 'C951979681', 'C951966706', 'C550679', 'C952354938', 'BFR316266566', 'SKH316266566', 'SKH57518549X', 'SKH807060143', '76719', 'CC_BIBNET_bibnet6554', 'C952651736', 'C776066', 'C806517', 'C806158', 'C790404', 'C951834758', 'C952210463', 'C952623662', 'C952040717', 'C952299290', 'C731160', 'C720179', 'C776871', 'C952583119', 'SVM522259464', 'C952589159', 'C952056319', 'C744335', 'C718210', 'C676835', 'C672228', 'C714050', 'C952033975', 'C952038207', 'C674808', 'C698202', 'C678183', 'C790550', 'C776832', 'C771533', 'C951921461', 'C952049020', 'C952059807', 'C952054876']",100
615,vascular AND surgery,"['EZB88453', 'EZB4921', 'EZB38733', 'ZBSPORT013523814', '1114206', '348416', 'NLM101573256', 'NLM7610026', '836622', 'EZB54215', 'SKH187797897', 'SVM341344311', 'SKH341344311', '521445', '221627', '192485', 'ZBSPORT014660196', '521405', '343987', 'SVM269019731', '759751', 'NLM101700049', 'EZB64409', 'EZB237136', '515531', '206203', '349510', 'M1997067', 'NLM9415454', 'AGRICOLACAT31133724', '121878', 'M2310662', 'M24461860', '352708', 'M24721176', 'M17866607', 'M17856656', 'M17856610', 'NLM101196722', 'NLM101136421', 'NLM8703941', '128395', 'SKH324765592', 'M21005300', 'NLM7911083', 'NLM7600118', 'NLM8705271', 'NLM8905860', 'NLM9423549', 'NLM9512293', 'NLM1300040', 'NLM101084719', 'NLM101179697', 'NLM101240975', 'NLM101259493', 'NLM8709440', 'NLM101698921', '59085', '327996', '208513', 'NLM101665940', 'M15534746', 'M26073820', '324223', 'NLM101626365', '497655', '489352', '41384', '853646', '548705', 'ZBSPORT013997212', '259102', '638684', '745444', 'NLM8407742', 'M9950997', 'SKH310254167', '610980', 'M28335178', 'M25593954', 'M6024396', 'NLM8209556', 'NLM7602596', 'NLM8506473', 'NLM8804577', 'NLM9302396', 'NLM7704368', 'NLM9316686', 'NLM9200620', 'NLM0352115', 'NLM0256300', 'NLM38310920R', 'NLM38320140R', 'NLM38320690R', 'NLM0037043', 'NLM100883440', 'NLM101227546', '328509', '419757', 'NLM8809602']",100
629,systemische AND therapie,"['372400', 'C952728023', 'C498907', '649463', 'SKH503172766', 'TIB387742387', 'C498901', 'SKH786728671', 'SKH490067743', 'C952404048', '1010618', 'SKH756371120', 'TIB74609793X', 'SKH787147044', '1048497', 'C951903137', 'C785936', 'EZB99653', 'C952485210', 'C952582595', 'C952473561', 'C806976', 'C952016091', 'C695805', 'SKH130402362', 'SKH604816480', 'TIB604816480', 'TIB805176985', 'TIB351011382', 'TIB566987252', '1008250', 'C34115', 'C952719757', 'C713232', 'C587917', 'C587918', 'C733128', 'C951883010', 'C761047', 'C952335136', 'C952383808', 'C952383810', 'SKH11929768X', 'SKH022554513', 'SKH317919210', 'SKH232217092', 'TIB317919210', 'TIB232217092', '937450', 'SKH812502272', 'TIB756323975', '985848', '963214', 'SKH81968760X', '1046998', '211785', 'SKH166576824', 'SKH171114744', '977380', 'C498905', 'C587916', 'SKH117932469', 'TIB556761529', '943847', 'SKH749722215', 'TIB749722215', 'ZBSPORT017669634', '939205', '971688', '1020625', '1025846', 'C679228', 'C952678129', 'C729539', 'C952081447', 'C952042055', 'C952042059', 'C20731', 'C498898', 'C498900', 'C791082', 'C761049', 'C951884334', 'C951934924', 'C951963531', 'C952503937', 'C571621', 'C34117', 'C631502', 'C952114548', 'C952503938', 'SKH119258420', 'SKH180840223', 'SKH119360829', 'SKH189496487', 'TIB266721281', 'SKH486190870', 'TIB356106918', 'TIB324716605', 'C952607930']",100
616,promotion,"['SKH324646151', 'SKH341754161', 'SKH378905171', 'SKH361041519', 'SKH607335246', 'SKH324645961', 'THIEME10_1055_s_0035_1567102', '187264', 'C769809', 'C952543942', 'C952531057', 'THIEME10_1055_s_2008_1032222', 'AGRISXF2015019187', 'THIEME10_1055_s_0035_1567146', 'M28094717', 'TIB385039530', 'ZBW818737980', 'ZBW818737956', 'ZBW818737964', 'ZBW818737913', 'ZBW81873793X', 'ZBW818737999', 'ZBW256193312', 'SKH805661204', 'SKH822151901', 'ZBSPORT015140829', 'FLI805661204', 'SKH014416484', 'ZBW1015318401', 'MRI094030928', 'C733596', 'C725018', 'C951865696', 'C952010718', 'C951959632', 'C665350', 'C952543943', 'C952543941', 'C525625', 'C952531056', 'C952531058', 'EZB45769', 'SKH014399121', 'SKH331983079', 'TIB215202279', '1025754', 'C952429748', 'C952461484', 'C705635', 'SKH685085503', 'THIEME10_1055_s_0035_1569438', 'TIB129223190', 'C952266491', 'C951999306', 'C952428888', 'C952672910', 'ZBW16861958X', 'ZBW043173519', 'M9933228', 'C952621683', 'THIEME10_1055_s_0042_116829', 'THIEME10_1055_s_0034_1394431', 'SVM219058490', 'BASE::ftopenagrar:oai:www.openagrar.de:openagrar_mods_00050836', 'SKH331145634', 'C52133', 'B4093002', 'SVM525316760', 'TIB525316760', 'ZBSPORT015011956', 'BASE::ftwhoiris:oai:localhost:10665/85674', 'AGRICOLACAIN719017296', 'NLM8906525', 'NLM101143692', 'NLM100957504', 'NLM9812288', 'NLM101299387', 'SKH039356302', 'SKH365075760', 'TIB02037741X', 'TIB589494759', 'M25422297', 'BASE::ftwhoiris:oai:apps.who.int:10665/306965', 'TIB65927888X', 'SKH589494759', 'IPK529501155', 'ZBW65927888X', 'ZBW039356302', 'ZBW197977413', 'ZBW170542157', 'ZBW182325504', 'M13413711', 'SKH331144816', 'SVM232462216', 'TIB232462216', 'SKH232462216', 'SKH331145421', 'C952117828', '1998', '678514']",100
617,aphasia,"['NLM8708531', 'NLM8303719', 'NLM1266261', 'NLM8208559', '507975', '381552', 'NLM9711684', '351516', 'M29812521', '417816', 'NLM9112373', '48280', '604282', 'NLM8008033', 'NLM8503192', 'NLM8106733', 'NLM8301262', 'NLM9013217', 'NLM9008211', 'NLM7800968', 'NLM7502929', 'NLM9423336', 'NLM0423225', 'NLM42120300R', 'NLM42110440R', 'NLM42110450R', 'NLM42110260R', 'NLM42110330R', 'NLM0037024', 'NLM0353637', 'NLM0320455', 'NLM0221163', 'NLM0321107', 'NLM101498823', 'NLM9701612', 'NLM101488846', 'NLM101496974', 'M20266961', 'M13797799', 'M13477335', 'M13144962', 'NLM9213266', 'NLM9435415', 'NLM101158759', 'NLM101593908', 'M18631697', 'M260625', 'M15140277', 'M1193378', 'M24049797', 'M17235233', 'M7422040', 'NLM8306289', 'NLM9002222', 'NLM8601969', 'NLM9215185', 'NLM9006034', 'NLM0371531', 'NLM42110220R', 'NLM42110210R', 'NLM0055221', 'SKH197323162', '138702', 'M260230', 'NLM101693341', 'M1044052', 'M5595948', '279778', '210840', 'M14474806', 'NLM9206372', 'M388738', '662806', 'M6209937', 'M13241427', 'M631669', 'M4946887', 'NLM9419000', 'NLM101249207', 'SKH227997506', 'M5842127', 'M13214247', 'M13224618', 'M13517430', 'M13634960', '307730', '353802', '139554', '150212', '293339', '310623', '304295', '211504', '74999', 'M12989258', 'M13004634', '28870', 'M18147323', 'M20340694', 'M13467152']",100
619,psychose,"['ZBSPORT003196881', 'C746000', 'SKH528222147', '162222', 'SKH020579764', 'B79474', 'SKH045183287', 'SKH023375612', 'SKH180562681', 'SKH192421735', 'TIB33415166X', 'SKH334724899', 'SKH376052678', 'SKH550227504', 'C705599', 'C952331038', 'NLM9312571', 'NLM66420380R', 'SKH119234319', 'SKH012755842', 'SKH045495319', 'SKH153871776', 'SVM23840840X', 'SKH229266517', 'C952687115', 'C952686412', 'C952348771', 'SKH012321818', 'TIB012321818', 'C952685972', 'C952007125', 'THIEME10_1055_a_0717_8197', 'THIEME10_1055_s_0043_120896', 'SOMED329955', 'C772606', 'C633564', 'SKH230969216', 'SKH038520591', 'SKH037376519', 'SKH038520583', 'SKH11925445X', 'SKH119271389', 'SKH180329057', 'SKH225025787', 'SKH320034593', 'SKH303514604', 'SKH322717752', 'SKH123225515', 'TIB225025787', 'SKH625370015', 'SOMED337633', '492889', 'CC_BIBNET_bibnet10746', 'CC_BIBNET_bibnet16747', 'CC_BIBNET_bibnet32672', 'SOMED373859', 'TIB504116878', 'B2797798', 'SKH254465749', 'SKH225072114', 'TIB225072114', 'B117635', 'B71431', 'NLM9203973', 'SKH504116835', 'B66910', 'B154326', 'NLM8500111', '172265', 'B98342', 'C951947719', 'B72953', 'C714946', 'C745999', 'C952061987', 'C717407', 'C951829408', 'C777448', 'C770648', 'C777474', 'C951892197', 'C951906290', 'C813228', 'C951893795', 'C951946581', 'C951954574', 'C952009503', 'C951975142', 'C732475', 'C952190968', 'C952279540', 'C27389', 'C535762', 'C33687', 'C532842', 'C621436', 'C952126440', 'C594385', 'C610178', 'C952535694']",100
620,hospiz,"['490948', '557586', 'SKH377274208', 'SKH557414091', 'C952241266', 'C628508', '1095365', '781536', '789695', 'C951844448', 'C951894349', 'C952218321', 'C952189284', 'C952255287', 'C952353242', 'C952287619', 'C952189277', 'C952200880', 'C952300968', 'C952320223', 'C562813', 'C628506', 'C952155567', 'C511233', 'SKH388980486', 'C952726425', 'CC_BIBNET_WEG7209', 'CC_BIBNET_rudolfiner50717', 'CC_BIBNET_rudolfiner52732', 'CC_BIBNET_vtls000874051', 'CC_BIBNET_careum108758', '690414', '789694', '523742', 'HECLINETHN106062', 'C952255285', 'SVM645090360', 'C952206710', '995297', 'CC_BIBNET_rudolfiner40105', '984402', '903380', 'C754580', 'C741251', 'SKH170292835', 'CC_BIBNET_WEG6614', '512006', 'C952355427', 'C952200445', 'C952530915', 'CC_BIBNET_rudolfiner55641', 'C952726422', 'CC_BIBNET_rudolfiner52380', 'C951844454', 'C952604916', '397091', 'CC_BIBNET_vtls001435911', 'C792444', 'C951850103', 'C814022', 'EZB151045', 'SKH329351249', 'SKH366112074', 'SKH350666237', 'SKH388545011', 'TIB645090360', '882352', 'SKH645090360', 'C709220', '782094', '1057640', 'CC_BIBNET_careum13410', 'C952072512', 'NLM101292804', '969862', '969872', '969867', '971271', 'CC_BIBNET_rudolfiner45651', '722290', '969521', 'C952104809', 'C952129214', 'C952104810', 'C754584', 'C951825707', 'C951853387', 'C951912841', 'C951912842', 'C648479', 'C952241261', 'C952158145', 'C952241271', 'C952378830', 'C562818', 'C562814', 'C562820', 'C648481', 'C648478', 'C952185139']",100
621,arzneimittel,"['SKH129620173', 'TIB022921931', 'MRI025059823', 'TIB129065110', 'BFR129065110', '747491', '784249', 'SVM022953779', 'SVM241422663', 'B65570', 'SOMED337522', '250337', 'B65571', '749442', 'ZBW173307701', '334088', 'NLM0372661', 'C952078877', 'C952061117', 'C655624', 'C604841', 'C951846044', 'C951898521', 'C951898226', 'C952013853', 'C951928815', 'C951927488', 'C951978705', 'C951898443', 'C637755', 'NLM101251709', 'C51979', 'C24681', 'C952101438', 'ZBSPORT010435276', 'C952098158', 'C952125178', 'C569267', 'C504817', 'C42706', 'C27962', 'NLM0372660', 'ZBW631969357', 'ZBW575648473', 'ZBW540114375', 'ZBW526044497', 'ULIDAT00253219', 'ZBW769073417', 'ZBW682489263', 'ZBW728136511', 'SKH769073417', 'ZBW799203246', 'SKH799203246', 'SKH834410222', 'ZBW834410222', 'ZBW872123537', 'ZBW1005295441', 'SKH235967181', 'B1499357', 'B5962', 'HECLINETHN66805', 'ULIDAT00197427', 'HECLINETHN48542', 'C770304', 'C707963', 'C952018656', 'C743585', 'C774968', 'C786509', 'C677553', 'C952280829', 'C952222439', 'C952327985', 'C952444019', 'C610551', 'C952110846', 'SKH025059823', 'TIB177211970', 'TIB309010349', 'SKH309010349', '943437', 'ZBW608473219', 'C952628455', 'ULIDAT02072638', 'SKH730220885', 'SKH736277935', 'SKH608473219', 'SKH797016112', 'SOMED419962', '682747', '682748', '943440', '943438', '943439', '362235', '559437', '648218', 'TIB025150685', 'ZBW168808781', 'SKH16407144X']",100
622,windeldermatitis,"['C952409857', 'C42372', 'C952002318', 'C952002301', 'C587547', 'C780085', 'CC_BIBNET_bibnet19417', 'C701907', 'C567132', 'C584005', 'C951844192', 'C951898392', 'C951902226', 'C791126', 'C809509', 'C952181955', 'C540678', 'C598973', 'C598967', 'C591145', 'C952378736', 'C497166', 'C737146', 'C952474560', 'C952474559', 'C952531882', 'C952078014', 'C766711', 'C555945', 'C951886913', 'C653746', 'C952276180', 'C952277302', 'C952375273', 'C952375268', 'C952330605', 'C40083', 'C660557', 'C500586', 'SKH040146316', 'SKH066417376', '172546', 'THIEME10_1055_s_0043_111251', 'C952229012', '1026472', 'C952586639', 'SOMED400636', 'C952181352', 'C952341964', '1018553', '188074', 'M6624206', 'C770943', 'THIEME10_1055_s_2004_860887', 'CC_BIBNET_careum12010', 'CC_BIBNET_bibnet25483', 'M2518175', 'NLM9015732', 'M5058439', 'SOMED506952', 'M16334652', '708495', 'M3653457', 'CC_BIBNET_bibnet19331', 'M22693754', 'THIEME10_1055_s_2004_860888', 'CC_BIBNET_careum12011', 'M26619637', 'M4441356', '130647', 'C952261722', '938469', '758424', 'THIEME10_1055_s_2008_1081381', 'THIEME10_1055_s_0041_109622', 'CC_BIBNET_careum12172', 'CC_BIBNET_bibnet20501', 'SOMED498629', '732119', 'SOMED315130', 'B2266393', '746525', 'KUP3801', 'KARGER496719', 'M2682472', 'M21882101', '440978', '813770', 'SOMED442020', 'BASE::ftdoajarticles:oai:doaj.org/article:e87a11c22a9b465c9d40063d9e979614', '489065', '604759', 'SOMED642594', '509097', '442125', 'THIEME10_1055_s_2004_814275', 'CC_BIBNET_bibnet31109', '645117', '723305', '508485']",100
623,transkulturelle AND kompetenz,"['C567359', 'CC_BIBNET_bibnet23068', 'C678960', 'C951892164', 'C952541208', 'C952156745', 'C952117089', 'THIEME10_1055_s_0043_105941', 'C952180815', 'CC_BIBNET_vtls001441892', 'CC_BIBNET_rudolfiner38484', 'CC_BIBNET_WEG1002', 'CC_BIBNET_rudolfiner35999', 'C951834755', 'C660562', 'SKH626562376', 'C952461812', 'BASE::ftseals:oai:agora.ch:sum-003:2001:27::438', 'CC_BIBNET_WEG2529', 'CC_BIBNET_WEG7074', 'CC_BIBNET_WEG2303', 'CC_BIBNET_bibnet24249', 'CC_BIBNET_bibnet34977', 'CC_BIBNET_bibnet25484', 'CC_BIBNET_WEG1383', 'CC_BIBNET_WEG1385', 'CC_BIBNET_WEG1082', 'CC_BIBNET_WEG1350', 'C952060243', 'CC_BIBNET_bibnet26276', 'THIEME10_1055_s_0034_1378160', 'CC_BIBNET_bibnet30268', 'CC_BIBNET_bibnet19599', 'CC_BIBNET_bibnet5121', 'C952191230', 'C952144698', 'C952263810', 'ZBSPORT016440625', 'THIEME10_1055_s_0036_1594131', 'CC_BIBNET_bibnet1539', 'CC_BIBNET_WEG4788', 'CC_BIBNET_bibnet2490', 'CC_BIBNET_WEG1003', 'CC_BIBNET_WEG1381', 'CC_BIBNET_WEG5011', 'CC_BIBNET_vtls001404393', 'ZBW558095356', 'CC_BIBNET_bibnet30454', 'THIEME10_1055_s_0043_103075', 'C617070', 'CC_BIBNET_bibnet12105', 'C952707565', 'C952623725', '506474', 'NLM101132317', 'ETHMED17990', 'C952095625', 'BASE::ftseals:oai:agora.ch:cuv-008:2009:80::605', 'CC_BIBNET_WEG6989', 'CC_BIBNET_WEG6599', 'CC_BIBNET_WEG1796', 'DNB1211316319', 'ETHMED15637', 'CC_BIBNET_bibnet15478', 'CC_BIBNET_bibnet12283', 'CC_BIBNET_bibnet33313', 'CC_BIBNET_WEG1537', 'CC_BIBNET_WEG5655', 'CC_BIBNET_WEG4515', 'CC_BIBNET_bibnet23227', 'SKH566857308', 'CC_BIBNET_bibnet19382', 'TIB575651113', 'C952503245', 'C952462894', 'DNB1161846735', 'SKH575651113', 'C952432143', 'C952124021', 'THIEME10_1055_s_0031_1274608', 'CC_BIBNET_careum108038', 'C541988', 'C952181931', 'THIEME10_1055_s_0034_1371805', 'CC_BIBNET_vtls000875666', '907431', 'PSYNDEX0346859', '969547', 'PSYNDEX0186134', '890419', 'CC_BIBNET_bibnet19381', 'CC_BIBNET_bibnet19383', 'CC_BIBNET_bibnet24848', 'CC_BIBNET_bibnet30720', 'CC_BIBNET_bibnet30439', 'SKH55880375X', 'ETHMED15592', 'C952462893', 'CC_BIBNET_WEG3101', 'SKH770419240']",100
624,weaning,"['125022', 'B2835188', 'AGRICOLACAT31370112', 'THIEME10_1055_s_0031_1299035', 'M12065332', 'AGRICOLAIND86084577', 'M17596396', 'M13092030', 'C952462174', 'NLM0104643', 'AGRISUS201600314538', 'AGRISUS201600313517', 'AGRISUS201600310279', 'AGRISUS201600313532', 'M19655019', 'M30871309', 'M30994564', 'AGRICOLAADL85068946', 'AGRICOLACAT10665288', 'AGRICOLACAT11043422', 'AGRICOLACAT10669535', 'AGRICOLACAIN749061077', 'AGRICOLACAIN749027275', 'AGRICOLACAIN739154877', 'M20290229', 'AGRICOLAIND88003881', 'AGRICOLACAIN779015360', 'NLM49421080R', 'NLM49420370R', 'NLM0225041', 'AGRICOLACAIN789095046', 'AGRICOLACAIN779013955', 'M20258062', 'M18123051', 'AGRICOLACAIN729065488', 'M1876158', 'M13746106', 'SVM026181002', 'AGRISUS201600291371', 'M840691', 'M5204329', 'M5213539', 'M6587894', 'M4956961', 'M14474354', 'M21248011', 'M2306908', 'M14339141', 'C952676277', 'M20295292', 'M13595758', 'M5037195', 'M14264346', 'THIEME10_1055_s_0034_1370234', 'M20297372', 'AGRICOLAIND84109072', 'AGRICOLACAIN769020407', 'AGRICOLACAIN759035167', 'M13264773', 'AGRICOLACAT83781034', 'M23484847', 'M14107337', 'M2323241', 'AGRICOLACAT10868061', 'NLM1267631', 'M8429936', 'M5189201', 'AGRICOLACAT80746022', 'SKH195533046', 'SVM364609702', 'CC_BIBNET_rudolfiner52535', 'AGRISUS201600304140', 'AGRISUS201600291721', 'AGRISUS201600302837', 'AGRISUS201600323931', 'AGRISUS201600313067', 'AGRISUS201600314487', 'AGRISUS201600325812', 'AGRISFI2016001404', 'AGRISXF2016006767', 'AGRISFR2014002430', 'AGRISUS201600297085', 'AGRISUS201600313884', 'AGRISUS201600291417', 'AGRISUS201600310528', 'AGRISUS201600314768', 'AGRISUS201600320298', 'AGRISUS201600304299', '176215', 'M7701106', 'AGRICOLACAIN759068918', 'C952660186', 'C952565993', 'C952565996', 'M19655020', 'M18734711', 'M23814646', 'M33087245', 'AGRICOLAFNI87003056', 'AGRICOLACAT10754296']",100
625,krankenpflege,"['123068', '638859', 'ZBSPORT001264142', '31165', 'SOMED330817', 'NLM9432913', 'C951832380', '144061', '601012', 'NLM0014603', 'C648995', '336104', 'SOMED454419', 'SOMED622883', '577582', '48093', '577583', '247333', 'C952106166', 'CC_BIBNET_rudolfiner42803', '870459', 'SOMED417843', '18434', 'NLM8006304', 'NLM18210270R', 'NLM0415605', 'ZBSPORT012982948', 'SOMED454451', 'SOMED330818', 'SOMED330809', 'SOMED330800', 'SOMED594869', '82507', '154378', '253049', 'SOMED417833', 'TIB132724103', 'HECLINETHND_1_72_04471', 'C780582', 'NLM62520720R', 'SKH021630380', 'SKH332459713', 'SOMED308876', 'SOMED411933', 'SOMED339019', 'SOMED330801', 'SOMED335014', 'SOMED581128', '345584', '17050', '17051', 'CC_BIBNET_bibnet5201', 'CC_BIBNET_bibnet10486', 'CC_BIBNET_bibnet7229', 'CC_BIBNET_bibnet3748', 'CC_BIBNET_bibnet4012', 'CC_BIBNET_bibnet3060', 'CC_BIBNET_bibnet6401', 'CC_BIBNET_bibnet6317', 'CC_BIBNET_bibnet6234', 'CC_BIBNET_bibnet8641', 'CC_BIBNET_bibnet8867', 'NLM0006750', 'NLM0006721', 'C792020', 'C736222', 'C675244', 'C951832301', 'C789845', 'C789853', 'C617079', 'C617086', 'NLM17010450R', 'SKH130218898', 'SKH090880722', 'SOMED417845', 'SOMED417842', 'C566126', 'C741963', '346715', 'C952456821', 'C952313726', 'C951983662', 'C952020082', 'C952046443', 'C952034254', 'C952020079', 'C952030279', 'C952047466', 'C952168722', 'C952106165', 'C952045888', 'CC_BIBNET_bibnet5209', 'CC_BIBNET_vtls001373794', 'CC_BIBNET_bibnet6315', 'CC_BIBNET_bibnet6212', 'HECLINETHN204296', '358102', '166310', 'SOMED330810']",100
626,fibromyalgie,"['C24302', 'THIEME10_1055_s_0035_1552613', 'C527465', 'C24310', 'C669379', 'C952121122', 'C951900056', 'C666719', 'C653052', 'C53467', 'C519103', 'C708546', 'C952604968', 'C547625', 'C952124716', 'C952037450', 'C952062901', 'C952062054', 'C38494', 'C722507', 'C537448', 'C567693', 'C722511', 'C714355', 'C817599', 'C804099', 'C951841296', 'C951920866', 'C952025771', 'C736872', 'C951826139', 'C614475', 'C952402475', 'C952236881', 'C952331063', 'C952307896', 'C952475642', 'C952523900', 'C487793', 'C39231', 'C646276', 'C654705', 'C685185', 'C952279813', 'C517808', 'C952158948', 'C951891472', 'C952259335', 'C952395414', 'C951880544', 'C952513298', 'C952561341', 'C952566525', '293890', 'C952728852', 'C756365', 'C952689589', 'C734318', 'C594048', 'THIEME10_1055_s_0031_1273190', 'CC_BIBNET_careum107754', 'NLM100888689', 'PSYNDEX0259834', 'C951844444', 'SKH339891211', 'SKH238231445', 'B555224', 'C952230102', '525414', '391423', '869586', '547089', 'ZBSPORT014460348', '693291', 'NLM101485464', 'PSYNDEX0244930', 'C952097924', 'C952085977', 'C952130978', 'C952056263', 'C754404', 'C722300', 'C710274', 'C735751', 'C749715', 'C689115', 'C753331', 'C711254', 'C768322', 'C748321', 'C743117', 'C952020375', 'C952105812', 'C952029423', 'C952063412', 'C952099059', 'C952045964', 'C952011555', 'C952031390', 'C39551']",100
627,triggerpunkte,"['C952662922', 'C952131711', 'C952193355', 'SKH394631323', 'C809952', 'C951909274', 'C951983967', 'C952005676', 'C951988194', 'C808987', 'C487067', 'C506656', 'NLM101493398', 'C952701875', 'C951932715', 'C952061612', 'C952070646', 'C952633094', 'C951986265', 'THIEME10_1055_s_0043_122099', 'C952020559', 'C952672459', 'SKH606677127', 'THIEME10_1055_s_0042_123683', 'THIEME10_1055_s_0034_1396918', 'SKH813409543', 'SKH523264348', '452355', 'C787496', 'C952031401', 'C952399514', 'NLM100896100', 'SKH818935197', 'ZBSPORT015670493', 'ZBSPORT017143244', 'C510647', 'C951986254', 'C951905031', 'C952273716', 'THIEME10_1055_s_0030_1249790', 'C951879701', 'NLM101166921', 'SKH239482778', 'NLM9715328', 'B3730905', '897313', 'THIEME10_1055_s_0043_110430', 'EGMS15degam130', 'NLM101088042', 'NLM9438738', 'NLM101282829', 'CC_BIBNET_bibnet22412', 'CC_BIBNET_bibnet22414', 'CC_BIBNET_bibnet22413', 'THIEME10_1055_s_0035_1559573', 'CC_BIBNET_bibnet26104', 'THIEME10_1055_s_0029_1185442', 'C952089192', 'C952356396', 'SKH248528491', 'THIEME10_1055_s_0042_118196', '312610', 'NLM101479111', '755450', 'EGMS15dkou299', 'THIEME10_1055_s_0034_1376323', '786087', 'THIEME10_1055_s_0029_1246052', 'THIEME10_1055_s_2008_1065444', 'EGMS08dkou221', 'EGMS14dkou387', 'C951846487', 'THIEME10_1055_s_0035_1570477', 'C952169185', 'DNB1150159146', 'DNB1206878088', 'C951934567', 'THIEME10_1055_s_0035_1552885', 'C952140719', 'C952303681', 'SKH751570362', '1107894', 'C952096509', 'C951865119', 'C951883190', 'C951861672', 'C952398099', 'C952528567', 'C952557596', 'C780560', 'THIEME10_1055_s_0033_1357257', 'THIEME10_1055_s_2008_1027974', 'C952209670', 'SKH316401153', 'SKH316402575', '971931', 'ZBSPORT016027258', 'THIEME10_1055_s_0031_1295399', 'C629393', 'C951960337']",100
