qid,query,new_query,cnt_results,relevant_found,share
303,asperger,asperger,3.0,3,1.0
742,audiometrie,audiometrie,1.0,1,1.0
992,spina AND bifida,"spina,bifida",6.0,6,1.0
16,zoonosis,zoonosis,2.0,2,1.0
14,nutrigenomics,nutrigenomic,6.0,6,1.0
13,zoster,zoster,15.0,15,1.0
541,hippotherapie,hippotherapie,1.0,1,1.0
757,mesh,mesh,13.0,13,1.0
6,interleukin-33,interleukin-33,8.0,8,1.0
760,muskeldystrophie,muskeldystrophie,1.0,1,1.0
8,oncogene,oncogene,50.0,49,0.98
771,aspirin,aspirin,77.0,75,0.974025974025974
750,telemedicine,telemedicine,28.0,27,0.9642857142857143
721,fas,fas,21.0,20,0.9523809523809523
325,amputation,amputation,20.0,19,0.95
4,influenza,influenza,55.0,52,0.9454545454545454
396,multiple AND sclerosis,"multiple,sclerosis",34.0,32,0.9411764705882353
51,pesticide residues,"pesticide,residue",17.0,16,0.9411764705882353
295,bladder,bladder,30.0,28,0.9333333333333333
979,cannabidiol,cannabidiol,15.0,14,0.9333333333333333
438,triage,triage,14.0,13,0.9285714285714286
463,medline,medline,77.0,71,0.922077922077922
5,malaria,malaria,11.0,10,0.9090909090909091
292,occupational AND therapy,"occupational,therapy",21.0,19,0.9047619047619048
259,primary AND nursing,"primary,nursing",72.0,65,0.9027777777777778
959,magnesium,magnesium,50.0,45,0.9
624,weaning,wean,25.0,22,0.88
283,fatigue,fatigue,37.0,32,0.8648648648648649
617,aphasia,aphasia,20.0,17,0.85
31,nuclear AND disaster,"nuclear,disaster",39.0,33,0.8461538461538461
318,placebo,placebo,16.0,13,0.8125
572,radiology,radiology,5.0,4,0.8
199,vitamin AND d,"vitamin,d",62.0,48,0.7741935483870968
140,schizophrenia,schizophrenia,8.0,6,0.75
76,parkinson,parkinson,16.0,12,0.75
900,neurology,neurology,4.0,3,0.75
857,cardiology,cardiology,3.0,2,0.6666666666666666
730,patient AND safety,"patient,safety",20.0,13,0.65
167,stroke,stroke,11.0,7,0.6363636363636364
73,nuclear disaster,"nuclear,disaster",66.0,42,0.6363636363636364
407,intubation,intubation,39.0,23,0.5897435897435898
74,organ donation,"organ,donation",36.0,21,0.5833333333333334
824,dioxin,dioxin,7.0,4,0.5714285714285714
213,asthma,asthma,22.0,12,0.5454545454545454
350,heart,heart,100.0,54,0.54
414,postnatal depression,"postnatal,depression",43.0,23,0.5348837209302325
90,burnout,burnout,21.0,11,0.5238095238095238
132,motivation,motivation,29.0,15,0.5172413793103449
65,food allergy,"food,allergy",90.0,46,0.5111111111111111
179,leukemia,leukemia,69.0,35,0.5072463768115942
81,hiv,hiv,14.0,7,0.5
2,dementia,dementia,15.0,7,0.4666666666666667
505,low AND back AND pain,"low,pain",26.0,12,0.46153846153846156
563,obesity,obesity,11.0,5,0.45454545454545453
990,team,team,41.0,18,0.43902439024390244
343,bonding,bonding,10.0,4,0.4
464,sleep,sleep,80.0,32,0.4
247,out-of-hospital birth,"out-of-hospital,birth",23.0,8,0.34782608695652173
784,quality AND of AND life,"quality,life",49.0,17,0.3469387755102041
999,infection,infection,18.0,6,0.3333333333333333
61,vegan diet,"vegan,diet",40.0,13,0.325
71,stress,stress,61.0,19,0.3114754098360656
893,blood,blood,100.0,28,0.28
997,nursing AND care,"nursing,care",100.0,26,0.26
50,depression,depression,38.0,9,0.23684210526315788
656,massage,massage,9.0,2,0.2222222222222222
612,quality of life,"quality,life",93.0,20,0.21505376344086022
54,hpv vaccination,"hpv,vaccination",5.0,1,0.2
641,prevention,prevention,11.0,2,0.18181818181818182
258,public AND health,"public,health",23.0,4,0.17391304347826086
387,back AND pain,pain,66.0,10,0.15151515151515152
52,jumping gene,"jump,gene",89.0,10,0.11235955056179775
67,hospital hygiene,"hospital,hygiene",82.0,9,0.10975609756097561
939,training,training,19.0,2,0.10526315789473684
358,nurse,nurse,63.0,6,0.09523809523809523
324,pain,pain,66.0,6,0.09090909090909091
46,breast cancer,"breast,cancer",100.0,9,0.09
899,health,health,100.0,9,0.09
59,animal protection,"animal,protection",100.0,7,0.07
955,patient,patient,100.0,7,0.07
113,midwifery,midwifery,52.0,3,0.057692307692307696
248,rehabilitation,rehabilitation,19.0,1,0.05263157894736842
64,colony collapse disorder,"colony,collapse,disorder",40.0,2,0.05
707,hospital,hospital,61.0,3,0.04918032786885246
677,tumor,tumor,24.0,1,0.041666666666666664
978,lockdwon OR shutdown OR deutschland OR germany,"lockdwon,shutdown,deutschland,germany",56.0,1,0.017857142857142856
133,palliative AND care,"palliative,care",68.0,1,0.014705882352941176
688,schulz AND von AND thun,"schulz,von,thun",1.0,0,0.0
691,handlungskompetenz AND praxisanleiter,"handlungskompetenz,praxisanleiter",1.0,0,0.0
689,soziologie,soziologie,1.0,0,0.0
690,der AND nervenarzt,"der,nervenarzt",1.0,0,0.0
675,endspurt AND biochemie,"endspurt,biochemie",1.0,0,0.0
680,migration AND pflege,"migration,pflege",1.0,0,0.0
687,obstipation AND schwangerschaft,"obstipation,schwangerschaft",1.0,0,0.0
672,medizinische AND soziologie,"medizinische,soziologie",1.0,0,0.0
686,emotionen,emotionen,1.0,0,0.0
673,verbrennungen,verbrennungen,1.0,0,0.0
685,osteopathie AND leber,"osteopathie,leber",1.0,0,0.0
684,peripherer AND nerv,"peripherer,nerv",1.0,0,0.0
683,125-dihydroxycholecalciferol,125-dihydroxycholecalciferol,1.0,0,0.0
682,isolierung AND stigmatisierung,"isolierung,stigmatisierung",1.0,0,0.0
681,dialyse AND komplikationen,"dialyse,komplikationen",1.0,0,0.0
679,das AND humangenomprojekt,"das,humangenomprojekt",1.0,0,0.0
678,innere AND medizin AND duale AND reihe,"innere,medizin,duale,reihe",1.0,0,0.0
693,anorexie,anorexie,1.0,0,0.0
674,telemedizin AND studie,"telemedizin,studie",1.0,0,0.0
676,mucoviszidose,mucoviszidose,1.0,0,0.0
692,deeskalation,deeskalation,1.0,0,0.0
716,usmle,usmle,1.0,0,0.0
694,generalistik,generalistik,1.0,0,0.0
718,vernakalant AND pregnancy,"vernakalant,pregnancy",1.0,0,0.0
720,coaching,coach,1.0,0,0.0
722,op,op,1.0,0,0.0
723,trepel,trepel,1.0,0,0.0
724,videosprechstunde,videosprechstunde,1.0,0,0.0
725,sprechapraxie,sprechapraxie,1.0,0,0.0
726,ausbildung,ausbildung,1.0,0,0.0
728,emotionale AND intelligenz,"emotionale,intelligenz",1.0,0,0.0
729,employer AND branding,"employer,brand",1.0,0,0.0
731,c.meyer,c.meyer,1.0,0,0.0
732,coronavirus AND nursing,"coronavirus,nursing",1.0,0,0.0
734,haut AND nah,"haut,nah",1.0,0,0.0
736,postoperativ,postoperativ,1.0,0,0.0
737,neuroanatomie AND trepel,"neuroanatomie,trepel",1.0,0,0.0
738,fleischkonsum,fleischkonsum,1.0,0,0.0
739,adipositas AND kinder,"adiposita,kinder",1.0,0,0.0
740,nephrologie,nephrologie,1.0,0,0.0
741,psychische AND belastung,"psychische,belastung",1.0,0,0.0
743,taschenatlas AND physiologie AND wiesner,"taschenatla,physiologie,wiesner",1.0,0,0.0
744,lymphdrainage,lymphdrainage,1.0,0,0.0
719,einarbeitungskonzept,einarbeitungskonzept,1.0,0,0.0
717,selbsthilfe,selbsthilfe,1.0,0,0.0
695,icu,icu,1.0,0,0.0
670,krankenhausfinanzierung,krankenhausfinanzierung,1.0,0,0.0
696,rheumatoide AND arthritis,"rheumatoide,arthritis",1.0,0,0.0
697,mitarbeiterbindung AND pflege,"mitarbeiterbindung,pflege",1.0,0,0.0
698,herausforderndes AND verhalten,"herausfordernde,verhalten",1.0,0,0.0
699,nervenarzt,nervenarzt,1.0,0,0.0
700,kinderkardiologie,kinderkardiologie,1.0,0,0.0
701,management,management,29.0,0,0.0
702,postoperatives AND delir,"postoperative,delir",1.0,0,0.0
703,basics AND neurochirurgie,"basic,neurochirurgie",1.0,0,0.0
704,gesundheitsapps,gesundheitsapps,1.0,0,0.0
705,arteriosklerose,arteriosklerose,1.0,0,0.0
706,veganismus,veganismus,1.0,0,0.0
708,medizinische AND psychologie,"medizinische,psychologie",1.0,0,0.0
709,laryngektomie,laryngektomie,1.0,0,0.0
710,milch,milch,1.0,0,0.0
711,der AND unfallchirurg,"der,unfallchirurg",1.0,0,0.0
712,physiologie AND speckmann,"physiologie,speckmann",1.0,0,0.0
713,carl AND rogers,"carl,roger",1.0,0,0.0
714,gesundheitskommunikation,gesundheitskommunikation,1.0,0,0.0
715,tcm,tcm,1.0,0,0.0
671,mobilisation,mobilisation,1.0,0,0.0
1,covid-19 OR sars-cov-2,"covid-19,sars-cov-2",1.0,0,0.0
669,palliative AND pflege,"palliative,pflege",1.0,0,0.0
594,schwieriger AND atemweg,"schwieriger,atemweg",1.0,0,0.0
580,instagram,instagram,1.0,0,0.0
581,ambient AND assisted AND living,"ambient,assist,live",1.0,0,0.0
582,generation AND y,"generation,y",1.0,0,0.0
583,psychosomatik,psychosomatik,1.0,0,0.0
584,notfallkoffer,notfallkoffer,1.0,0,0.0
585,soziale AND arbeit,"soziale,arbeit",1.0,0,0.0
586,ayurveda,ayurveda,1.0,0,0.0
587,personalmanagement,personalmanagement,1.0,0,0.0
588,epistaxis AND hypertonie,"epistaxis,hypertonie",1.0,0,0.0
589,wissenschaftliches AND arbeiten,"wissenschaftliche,arbeiten",1.0,0,0.0
592,qualitative AND studie,"qualitative,studie",1.0,0,0.0
595,eisenmangel,eisenmangel,1.0,0,0.0
578,darmkrebs,darmkreb,1.0,0,0.0
596,sonographie,sonographie,1.0,0,0.0
597,next AND studie,studie,1.0,0,0.0
598,notfallpflege,notfallpflege,1.0,0,0.0
599,gesundheitspsychologie,gesundheitspsychologie,1.0,0,0.0
600,wochenbettdepression,wochenbettdepression,1.0,0,0.0
601,late AND talker,"late,talker",1.0,0,0.0
602,humor,humor,5.0,0,0.0
603,pathologie AND kurzlehrbuch,"pathologie,kurzlehrbuch",1.0,0,0.0
604,narzissmus,narzissmus,1.0,0,0.0
605,stationsleitung,stationsleitung,1.0,0,0.0
606,mukositis,mukositis,1.0,0,0.0
579,endometriosis AND prevalence,"endometriosis,prevalence",1.0,0,0.0
577,osce,osce,1.0,0,0.0
668,zvk,zvk,1.0,0,0.0
558,physiologie AND wiesner,"physiologie,wiesner",1.0,0,0.0
547,notfall,notfall,1.0,0,0.0
548,behandlung AND depression,"behandlung,depression",1.0,0,0.0
549,biologie,biologie,1.0,0,0.0
550,kulturheidelbeeren,kulturheidelbeeren,1.0,0,0.0
551,orem,orem,1.0,0,0.0
552,ctg,ctg,1.0,0,0.0
553,demenz AND pflege,"demenz,pflege",1.0,0,0.0
554,wochenbett,wochenbett,1.0,0,0.0
555,work-life-balance,work-life-balance,1.0,0,0.0
556,allergie,allergie,1.0,0,0.0
557,selbstverletzendes AND verhalten,"selbstverletzende,verhalten",1.0,0,0.0
559,arbeitsmedizin,arbeitsmedizin,1.0,0,0.0
575,mvz,mvz,1.0,0,0.0
560,pflegeberufegesetz,pflegeberufegesetz,1.0,0,0.0
561,histamindihydrochlorid,histamindihydrochlorid,1.0,0,0.0
562,ceplene,ceplene,1.0,0,0.0
564,humangenetik,humangenetik,1.0,0,0.0
565,biologische AND psychologie,"biologische,psychologie",1.0,0,0.0
566,peg,peg,1.0,0,0.0
567,tracheotomie,tracheotomie,1.0,0,0.0
568,geistige AND behinderung,"geistige,behinderung",1.0,0,0.0
569,koronare AND herzkrankheit,"koronare,herzkrankheit",1.0,0,0.0
571,professionalisierung AND pflege,"professionalisierung,pflege",1.0,0,0.0
573,pflegetheorie,pflegetheorie,1.0,0,0.0
607,medizinische AND mikrobiologie,"medizinische,mikrobiologie",1.0,0,0.0
608,intermittent AND fasting,"intermittent,fast",1.0,0,0.0
609,kopfschmerzen,kopfschmerzen,1.0,0,0.0
654,biotechnologie,biotechnologie,1.0,0,0.0
643,musik,musik,1.0,0,0.0
644,kindesmisshandlung,kindesmisshandlung,1.0,0,0.0
645,harninkontinenz,harninkontinenz,1.0,0,0.0
646,livivo,livivo,1.0,0,0.0
647,reproduktionsmedizin,reproduktionsmedizin,1.0,0,0.0
648,ethik AND pflege,"ethik,pflege",1.0,0,0.0
649,fallbuch,fallbuch,1.0,0,0.0
650,nejm,nejm,1.0,0,0.0
651,pathophysiologie,pathophysiologie,1.0,0,0.0
652,gehirn,gehirn,1.0,0,0.0
653,behinderung,behinderung,1.0,0,0.0
655,als,al,1.0,0,0.0
610,systemische AND beratung,"systemische,beratung",1.0,0,0.0
657,akademisierung,akademisierung,1.0,0,0.0
658,haufe,haufe,1.0,0,0.0
659,genetik,genetik,1.0,0,0.0
660,deutsche AND medizinische AND wochenschrift,"deutsche,medizinische,wochenschrift",1.0,0,0.0
661,casemanagement,casemanagement,1.0,0,0.0
662,pharmakologie AND und AND toxikologie,"pharmakologie,und,toxikologie",1.0,0,0.0
663,mhealth,mhealth,1.0,0,0.0
664,controlling,control,100.0,0,0.0
665,hebammen,hebamman,1.0,0,0.0
666,who,,1.0,0,0.0
667,tuberkulose,tuberkulose,1.0,0,0.0
642,schmerzensgeld,schmerzensgeld,1.0,0,0.0
640,beckenendlage,beckenendlage,1.0,0,0.0
639,interkulturelle AND kompetenz,"interkulturelle,kompetenz",1.0,0,0.0
638,schichtdienst,schichtdienst,1.0,0,0.0
611,therapie AND tools,"therapie,tool",1.0,0,0.0
613,labordiagnostik,labordiagnostik,1.0,0,0.0
614,ambient AND assisted AND living AND and AND nursing,"ambient,assist,live,nursing",1.0,0,0.0
615,vascular AND surgery,"vascular,surgery",1.0,0,0.0
616,promotion,promotion,13.0,0,0.0
618,kultur AND von AND euphorbia AND pulcherrima,"kultur,von,euphorbia,pulcherrima",1.0,0,0.0
619,psychose,psychose,1.0,0,0.0
620,hospiz,hospiz,1.0,0,0.0
621,arzneimittel,arzneimittel,1.0,0,0.0
623,transkulturelle AND kompetenz,"transkulturelle,kompetenz",1.0,0,0.0
625,krankenpflege,krankenpflege,1.0,0,0.0
626,fibromyalgie,fibromyalgie,1.0,0,0.0
627,triggerpunkte,triggerpunkte,1.0,0,0.0
628,hpv AND impfung,"hpv,impfung",1.0,0,0.0
629,systemische AND therapie,"systemische,therapie",1.0,0,0.0
630,care,care,100.0,0,0.0
631,ebn,ebn,1.0,0,0.0
632,nierentransplantation,nierentransplantation,1.0,0,0.0
633,schrotschusskrankheit,schrotschusskrankheit,1.0,0,0.0
634,kurzlehrbuch AND anatomie,"kurzlehrbuch,anatomie",1.0,0,0.0
635,leberzirrhose,leberzirrhose,1.0,0,0.0
745,dysphagia,dysphagia,1.0,0,0.0
637,osteoporose AND physiotherapie,"osteoporose,physiotherapie",1.0,0,0.0
636,impfpflicht,impfpflicht,1.0,0,0.0
783,heilberufe,heilberufe,1.0,0,0.0
746,myokardinfarkt,myokardinfarkt,1.0,0,0.0
905,tierversuche,tierversuche,1.0,0,0.0
907,familiale AND pflege,"familiale,pflege",1.0,0,0.0
908,gruppendynamik,gruppendynamik,1.0,0,0.0
909,ehec AND rektum AND analkanal AND thrombose AND digestion,"ehec,rektum,analkanal,thrombose,digestion",1.0,0,0.0
910,psychomotorik,psychomotorik,1.0,0,0.0
911,das AND icu AND buch,"das,icu,buch",1.0,0,0.0
913,palliative AND sedierung,"palliative,sedierung",1.0,0,0.0
914,albinismus,albinismus,1.0,0,0.0
915,advanced AND nursing AND practice,"advanced,nursing,practice",1.0,0,0.0
916,pharmind,pharmind,1.0,0,0.0
917,ase,ase,1.0,0,0.0
918,resilience,resilience,1.0,0,0.0
919,wissenstransfer,wissenstransfer,1.0,0,0.0
920,therapy,therapy,100.0,0,0.0
921,sozialraumanalyse,sozialraumanalyse,1.0,0,0.0
922,jama,jama,1.0,0,0.0
923,a,,1.0,0,0.0
924,kurkuma,kurkuma,1.0,0,0.0
925,viola AND wittrockiana AND hybriden,"viola,wittrockiana,hybriden",1.0,0,0.0
926,manchester AND triage AND system,"manchester,triage,system",1.0,0,0.0
927,frozen AND shoulder,"freeze,shoulder",1.0,0,0.0
928,praxisbegleitung,praxisbegleitung,1.0,0,0.0
929,humor AND in AND der AND pflege,"humor,der,pflege",1.0,0,0.0
930,zahnerhaltung,zahnerhaltung,1.0,0,0.0
931,tiertherapie,tiertherapie,1.0,0,0.0
932,personal,personal,3.0,0,0.0
906,locked AND in AND syndrom,"lock,syndrom",1.0,0,0.0
904,barthel AND index,"barthel,index",1.0,0,0.0
872,i AND care AND pflege,"care,pflege",1.0,0,0.0
903,ti,ti,1.0,0,0.0
874,sectio,sectio,1.0,0,0.0
875,knie AND tep,"knie,tep",1.0,0,0.0
876,geschichte AND der AND medizin,"geschichte,der,medizin",1.0,0,0.0
877,basale AND stimmulation,"basale,stimmulation",1.0,0,0.0
878,pde-5,pde-5,1.0,0,0.0
879,kapata AND arkeologi,"kapata,arkeologi",1.0,0,0.0
880,brustkrebs AND schmerz,"brustkreb,schmerz",1.0,0,0.0
882,lax AND vox,"lax,vox",1.0,0,0.0
883,kurzlehrbuch AND physiologie,"kurzlehrbuch,physiologie",1.0,0,0.0
884,pflegepersonal,pflegepersonal,1.0,0,0.0
885,pest,pest,1.0,0,0.0
886,physiotherapie AND bei AND multipler AND sklerose,"physiotherapie,bei,multipler,sklerose",1.0,0,0.0
887,ambient AND assisted AND living AND and AND caring,"ambient,assist,live,care",1.0,0,0.0
888,endokrinologie,endokrinologie,1.0,0,0.0
889,validation AND demenz,"validation,demenz",1.0,0,0.0
890,haut,haut,1.0,0,0.0
891,khk,khk,1.0,0,0.0
892,gewaltfreie AND kommunikation,"gewaltfreie,kommunikation",1.0,0,0.0
894,nidcap,nidcap,1.0,0,0.0
895,buteyko,buteyko,1.0,0,0.0
896,blasensprung AND transport,"blasensprung,transport",1.0,0,0.0
897,phantomschmerz,phantomschmerz,1.0,0,0.0
898,geschlechterrolle AND erziehung,"geschlechterrolle,erziehung",1.0,0,0.0
901,onkologie AND pflege,"onkologie,pflege",1.0,0,0.0
902,medizincontrolling,medizincontrolle,1.0,0,0.0
933,osteoporose AND diphosphonate AND femur AND ovarektomie,"osteoporose,diphosphonate,femur,ovarektomie",1.0,0,0.0
934,wissensmanagement,wissensmanagement,1.0,0,0.0
935,neurotraining,neurotraining,1.0,0,0.0
936,stigmatisierung,stigmatisierung,1.0,0,0.0
969,gesundheit AND digital,"gesundheit,digital",1.0,0,0.0
970,prosthetic AND joint AND infection AND surgical,"prosthetic,joint,infection,surgical",1.0,0,0.0
971,sensorimotor AND dyslexia,"sensorimotor,dyslexia",1.0,0,0.0
972,fettstoffwechsel,fettstoffwechsel,1.0,0,0.0
973,bauchlage,bauchlage,1.0,0,0.0
974,herold AND innere,"herold,innere",1.0,0,0.0
975,anatomie AND ausbildung,"anatomie,ausbildung",1.0,0,0.0
976,berufliche AND rehabilitation,"berufliche,rehabilitation",1.0,0,0.0
977,muttermilch,muttermilch,1.0,0,0.0
980,krisenintervention,krisenintervention,1.0,0,0.0
981,duale AND reihe AND biochemie,"duale,reihe,biochemie",1.0,0,0.0
982,integrative AND validation,"integrative,validation",1.0,0,0.0
983,leistenhernie,leistenhernie,1.0,0,0.0
984,haccp,haccp,1.0,0,0.0
985,fatique,fatique,1.0,0,0.0
986,icd-10,icd-10,1.0,0,0.0
987,zeolith,zeolith,1.0,0,0.0
988,breastfeeding,breastfeed,1.0,0,0.0
989,alzheimer AND demenz,"alzheimer,demenz",1.0,0,0.0
991,kinderheilkunde,kinderheilkunde,1.0,0,0.0
993,umwelt AND gebaeude AND environmentally AND friendly AND building,"umwelt,gebaeude,environmentally,friendly,building",1.0,0,0.0
994,neuropsychologie,neuropsychologie,1.0,0,0.0
995,ursonorm,ursonorm,1.0,0,0.0
996,zusammenhang AND sozialer AND schichtunterschiede AND und AND adipositas,"zusammenhang,sozialer,schichtunterschiede,und,adiposita",1.0,0,0.0
998,evaluation,evaluation,65.0,0,0.0
968,karow,karow,1.0,0,0.0
967,springendes gen,"springende,gen",1.0,0,0.0
966,uv AND strahlung AND nutzpflanzen,"uv,strahlung,nutzpflanzen",1.0,0,0.0
949,hanf,hanf,1.0,0,0.0
937,krankenversicherung,krankenversicherung,1.0,0,0.0
938,gruppentherapie,gruppentherapie,1.0,0,0.0
940,cochrane,cochrane,1.0,0,0.0
941,lehrergesundheit,lehrergesundheit,1.0,0,0.0
942,gerontopsychiatrie,gerontopsychiatrie,1.0,0,0.0
943,lungenkrebs,lungenkrebs,1.0,0,0.0
944,praxis AND der AND schlafmedizin,"praxis,der,schlafmedizin",1.0,0,0.0
945,altersarmut,altersarmut,1.0,0,0.0
946,atmen,atman,1.0,0,0.0
947,medizinethik,medizinethik,1.0,0,0.0
948,demenzdorf,demenzdorf,1.0,0,0.0
950,kooperatives AND lernen,"kooperative,lernen",1.0,0,0.0
965,quantiferon,quantiferon,1.0,0,0.0
951,sars AND cov AND 2,"sar,cov,2",1.0,0,0.0
952,arzneimitteltherapiesicherheit,arzneimitteltherapiesicherheit,1.0,0,0.0
953,lehrbuch AND histologie,"lehrbuch,histologie",1.0,0,0.0
954,invasive AND pflanzen,"invasive,pflanzen",1.0,0,0.0
956,taschenlehrbuch AND histologie,"taschenlehrbuch,histologie",1.0,0,0.0
958,trink AND dich AND vital AND und AND gesund,"trink,dich,vital,und,gesund",1.0,0,0.0
960,antibiotic* AND machin* AND learn*,"antibiotic,machin,learn",1.0,0,0.0
961,anatomie AND des AND harnsystems,"anatomie,de,harnsystem",1.0,0,0.0
962,qo,qo,1.0,0,0.0
963,chondropatia AND patellae,"chondropatia,patellae",1.0,0,0.0
964,hypnose,hypnose,1.0,0,0.0
873,frage AND und AND antwort,"frage,und,antwort",1.0,0,0.0
871,abschwellung,abschwellung,1.0,0,0.0
748,zeitarbeit,zeitarbeit,1.0,0,0.0
780,kinder AND und AND jugendpsychiatrie,"kinder,und,jugendpsychiatrie",1.0,0,0.0
782,darm,darm,1.0,0,0.0
545,lagerung,lagerung,1.0,0,0.0
785,medizinische AND versorgungszentren,"medizinische,versorgungszentren",1.0,0,0.0
786,polyneuropathie,polyneuropathie,1.0,0,0.0
787,stammzellen,stammzellen,1.0,0,0.0
788,kompetenz,kompetenz,1.0,0,0.0
789,nature,nature,1.0,0,0.0
790,physiologie AND silbernagl,"physiologie,silbernagl",1.0,0,0.0
791,chronische AND erkrankungen,"chronische,erkrankungen",1.0,0,0.0
792,kinderchirurgie,kinderchirurgie,1.0,0,0.0
793,demenz AND 'a,demenz,1.0,0,0.0
794,ethikkomitee AND kinder,"ethikkomitee,kinder",1.0,0,0.0
796,lehrbuch AND der AND physiologie,"lehrbuch,der,physiologie",1.0,0,0.0
797,guolin AND qigong,"guolin,qigong",1.0,0,0.0
798,backpain,backpain,1.0,0,0.0
799,physik AND klima,"physik,klima",1.0,0,0.0
801,wiesner AND physiologie,"wiesner,physiologie",1.0,0,0.0
802,schmerzerfassung,schmerzerfassung,1.0,0,0.0
803,transition,transition,1.0,0,0.0
804,vorhofflimmern,vorhofflimmern,1.0,0,0.0
805,legasthenie,legasthenie,1.0,0,0.0
806,op AND management,"op,management",1.0,0,0.0
807,kooperation,kooperation,1.0,0,0.0
808,digitalisierung AND gesundheitswesen,"digitalisierung,gesundheitswesen",1.0,0,0.0
809,sbar,sbar,1.0,0,0.0
781,knie,knie,1.0,0,0.0
779,ulcus AND cruris,"ulcus,cruris",1.0,0,0.0
870,fasten,fasten,1.0,0,0.0
778,google,google,1.0,0,0.0
749,milestone AND transition,"milestone,transition",1.0,0,0.0
751,koffein,koffein,1.0,0,0.0
752,dammschutz,dammschutz,1.0,0,0.0
753,spiraldynamik,spiraldynamik,1.0,0,0.0
754,isolation,isolation,1.0,0,0.0
755,kurzzeitpflege,kurzzeitpflege,1.0,0,0.0
756,infektiologie,infektiologie,1.0,0,0.0
758,kurzlehrbuch AND innere AND medizin,"kurzlehrbuch,innere,medizin",1.0,0,0.0
759,bedsharing OR familienbett,"bedshare,familienbett",1.0,0,0.0
761,simulation,simulation,1.0,0,0.0
762,ressourcenaktivierung,ressourcenaktivierung,1.0,0,0.0
763,homeoffice,homeoffice,1.0,0,0.0
764,borreliose,borreliose,1.0,0,0.0
765,kommunikation AND in AND der AND pflege,"kommunikation,der,pflege",1.0,0,0.0
766,fotoatlas AND anatomie,"fotoatlas,anatomie",1.0,0,0.0
767,personalbindung,personalbindung,1.0,0,0.0
768,burnout AND in AND der AND pflege,"burnout,der,pflege",1.0,0,0.0
769,nutri AND score,"nutri,score",1.0,0,0.0
770,tms,tms,1.0,0,0.0
772,drosten,drosten,1.0,0,0.0
773,delir AND intensivstation AND screening,"delir,intensivstation,screening",1.0,0,0.0
774,amnog,amnog,1.0,0,0.0
775,wohlbefinden,wohlbefinden,1.0,0,0.0
776,partizipative AND entscheidungsfindung,"partizipative,entscheidungsfindung",1.0,0,0.0
777,lehrbuch AND der AND verhaltenstherapie,"lehrbuch,der,verhaltenstherapie",1.0,0,0.0
810,forensische AND psychiatrie,"forensische,psychiatrie",1.0,0,0.0
811,cmd,cmd,1.0,0,0.0
812,datenschutz,datenschutz,1.0,0,0.0
813,e-learning,e-learning,1.0,0,0.0
843,pflegeethik,pflegeethik,1.0,0,0.0
