DBRECORDID,TITLE,ABSTRACT,LANGUAGE,MESH,CHEM
M3425247,['Endometriosis in women at interval sterilization.'],"['The prevalence of endometriosis was investigated in 108 Norwegian women admitted for interval tubal sterilization. The mean age of the patients was 37 years. Endometriosis was detected in 19 (18%) of the women. About one-half of these had no symptoms from the disease. A positive correlation was found between a retroversion of the uterus and endometriosis. The women with endometriosis showed a longer period of uninterrupted menstrual cycles prior to the time of sterilization, when compared with the controls (89 unaffected women). Sisters and mothers of patients with endometriosis displayed a higher frequency of benign gynecological disorders than the corresponding relatives of the control group. The prevalence of endometriosis appeared to be independent of the following clinical parameters: onset of menarche, age at first pregnancy, number of pregnancies, previous use of hormonal contraceptives or IUD, and actual age at the time of sterilization.']",['eng'],"['Adult', 'Endometriosis/epidemiology', 'Endometriosis/genetics', 'Female', 'Fertility', 'Genital Diseases, Female/genetics', 'Humans', 'Middle Aged', 'Norway', 'Risk Factors', 'Sterilization, Tubal']",
M3428746,"[""[Role of aspirin in the etiology of Reye's syndrome].""]",,['heb'],"['Aspirin/adverse effects', 'Humans', 'Reye Syndrome/chemically induced']",['Aspirin (R16CO5Y76E)']
M3431884,['A testable theoretical model for the mechanism of magneto-therapy.'],,['eng'],"['Animals', 'Electromagnetic Phenomena/therapeutic use', 'Humans', 'Models, Theoretical', 'Oncogene Proteins, Viral/radiation effects', 'Oncogenes/radiation effects', 'Radiation']","['Oncogene Proteins, Viral']"
M3439326,['Onkogenexpression in endokrinen Pankreastumoren.'],,['ger'],"['Gene Expression Regulation', 'Humans', 'Immunohistochemistry', 'Oncogenes', 'Pancreatic Neoplasms/genetics', 'RNA, Messenger/genetics']","['RNA, Messenger']"
M3445369,['Locked-in syndromet. Pontin laesion visualiseret med magnetisk resonans (MR)-scanning.'],,['dan'],"['Adult', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Pons', 'Quadriplegia/diagnosis']",
M3446637,['Positiver peroperativer Abstrich bei Hüft- und Kniegelenkstotalprothesen-Implantationen: klinischer Verlauf.'],,['ger'],"['Anti-Bacterial Agents/therapeutic use', 'Follow-Up Studies', 'Hip Joint/microbiology', 'Hip Prosthesis', 'Humans', 'Intraoperative Period', 'Knee Joint/microbiology', 'Knee Prosthesis', 'Prospective Studies', 'Surgical Wound Infection/epidemiology', 'Surgical Wound Infection/prevention & control']",['Anti-Bacterial Agents']
M3447314,['Meme bakiminda hemşirenin koruyucu sağlik bakimi.'],,['tur'],"['Breast Diseases/etiology', 'Breast Diseases/prevention & control', 'Breast Feeding', 'Female', 'Health Education', 'Humans', 'Infant', 'Infant, Newborn', 'Obstetric Nursing', 'Prenatal Care']",
M3449455,['Anaerobic bacteraemia.'],,['eng'],"['Bacteria, Anaerobic/isolation & purification', 'Bacteroides/isolation & purification', 'Bacteroides fragilis/isolation & purification', 'Humans', 'Peptococcus/isolation & purification', 'Peptostreptococcus/isolation & purification', 'Sepsis/microbiology']",
M3450831,['Preparation of a bulk preservative free morphine parenteral solution.'],,['eng'],"['Drug Compounding', 'Drug Packaging/methods', 'Humans', 'Infusions, Parenteral', 'Morphine/administration & dosage', 'Pain/drug therapy', 'Pharmacy Service, Hospital']",['Morphine (76I7G6D29C)']
M3451219,['How far to investigate dementia?'],,['eng'],"['Dementia/diagnosis', 'Dementia/etiology', 'Dementia/therapy', 'Humans']",
M3454265,['Coronavirus: a jumping RNA transcription.'],,['eng'],"['Base Sequence', 'Cloning, Molecular', 'Coronaviridae/genetics', 'Genes, Viral', 'Molecular Sequence Data', 'RNA, Messenger/genetics', 'RNA, Viral/genetics', 'Transcription, Genetic']","['RNA, Messenger', 'RNA, Viral']"
M3460020,"['Der ""schwierige"" Patient.']",,['ger'],"['Adult', 'Dental Care/psychology', 'Dentist-Patient Relations', 'Humans']",
M3460021,"['Der ""schwierige"" Patient.']",,['ger'],"['Dental Care/psychology', 'Dentist-Patient Relations', 'Humans']",
M3465994,['Schmerzhilfe bei Krebskranken. Schmerz--eine interdisziplinäre Herausforderung.'],,['ger'],"['Humans', 'Morphine/administration & dosage', 'Neoplasms/physiopathology', 'Pain Management', 'Patient Care Team']",['Morphine (76I7G6D29C)']
M3476333,['Does oral health influence quality of life?'],,['eng'],"['Humans', 'Oral Health', 'Quality of Life']",
M3482479,['The aADN2 in critically ill patients: is it necessary to measure PaN2?'],"['Arterial hypoxemia and hence an increased venous admixture (QVA/QT) in the critically ill patient are mainly due to ventilation-perfusion mismatching in low VA/Q lung regions and/or to true intrapulmonary right-to-left shunt (QS/QT). In 16 intensive care patients the low VA/Q component was evaluated by determining the arterio-alveolar nitrogen partial pressure difference (aADN2). Employing a two compartment model of the lung, the fractional blood flow to a perfused and open, gas-filled but non-ventilated compartment (VA/Q = O) which represents all low VA/Q areas was calculated (QO/QT) from the aADN2 data. These results were compared with continuous ventilation-perfusion distributions obtained by using the multiple inert gas elimination technique. There was a close relationship between QO/QT and the perfusion fraction to lung regions with VA/Q ratios less than 0.6 (r = 0.855, p less than 0.001). The difference QVA/QT-QO/QT yielded a close estimation of the QS/QT value computed according to the SF6 retention (r = 0.952, p less than 0.001). We conclude that the measurement of the aADN2 and the calculation of the QO/QT together with the assessment of QVA/QT allow to estimate the contribution of low VA/Q areas and true right-to-left shunt to arterial hypoxemia at maintenance oxygen partial pressures.']",['eng'],"['Humans', 'Hypoxia/diagnosis', 'Nitrogen/blood', 'Partial Pressure', 'Pulmonary Gas Exchange', 'Ventilation-Perfusion Ratio']",['Nitrogen (N762921K75)']
M3487398,['Histiocytosis X presenting as intertrigo and responding to topical nitrogen mustard.'],,['eng'],"['Female', 'Histiocytosis, Langerhans-Cell/complications', 'Histiocytosis, Langerhans-Cell/diagnosis', 'Histiocytosis, Langerhans-Cell/drug therapy', 'Humans', 'Infant', 'Intertrigo/drug therapy', 'Intertrigo/etiology', 'Mechlorethamine/therapeutic use']",['Mechlorethamine (50D9XSG0VR)']
M3493532,"['Planned out-of-hospital births, New Jersey, 1978-1980.']","['This study involves 775 cases of New Jersey residents who had planned out-of-hospital births during the years 1978-1980. Birth certificate data were analyzed and compared to New Jersey statewide birth data for the same time period. The women who chose a planned out-of-hospital birth were more likely than the total resident population to be older, married, better-educated and having their second baby. Reasons for selecting alternatives to physician in-hospital delivery were the desire to be attended by a midwife, to have the family present, to be part of the decision-making process, and faith in the birth process as being in line with nature. The out-of-hospital birth phenomenon was diffuse throughout the state, with more births attended by midwives than physicians and more births at home rather than at birthing centers. This study provides a basis for comparison of specific choices, providers and clientelle involved in the birth alternative movement, and lays the groundwork for investigating long term changes in the demand for birthing services in New Jersey.']",['eng'],"['Cross-Sectional Studies', 'Delivery, Obstetric', 'Female', 'Home Childbirth', 'Hospitals, Maternity/statistics & numerical data', 'Hospitals, Special/statistics & numerical data', 'Humans', 'Midwifery/statistics & numerical data', 'New Jersey', 'Pregnancy']",
M3502586,['Epidemiological study of old age mental disorders in the two rural areas of Japan.'],"['Epidemiological investigations of mental disorders among the aged population were conducted in two rural areas of the southernmost prefecture of Japan. The population of the people aged 65 and over was 708 in Sashiki Village and 211 in Ikema Island. The prevalence of mental disorders among the aged inhabitants was 6.64% in Sashiki Village and 3.79% in Ikema Island. Dementia in the aging process was found in 5.36% in Sashiki Village and 2.37% in Ikema Island. All cases of dementia were of the simple type, except for a case with a paranoid state in Sashiki Village. There was no case of nonorganic psychotic conditions in both areas, except for the cases of schizophrenic psychosis whose onset occurred at an earlier age.']",['eng'],"['Aged', 'Aged, 80 and over', 'Cross-Sectional Studies', 'Dementia/epidemiology', 'Epilepsy/epidemiology', 'Female', 'Humans', 'Intellectual Disability/epidemiology', 'Japan', 'Male', 'Mental Disorders/epidemiology', 'Psychoses, Alcoholic/epidemiology', 'Rural Population', 'Schizophrenia/epidemiology']",
M3516334,['Does PEEP reduce the incidence of aspiration around endotracheal tubes?'],"['Despite improved endotracheal tube designs, aspiration remains a cause of pulmonary complications. This in vitro study evaluates the efficacy of positive end-expiratory pressure (PEEP) in reducing the incidence of seepage around endotracheal tubes during mechanical (MV) and spontaneous ventilation (SV). Two transparent plastic ""tracheas"" with cuffed and uncuffed endotracheal tubes simulated adult and paediatric airways respectively. Ten trials without PEEP and ten with PEEP at each of two different levels were completed for each model using both SV and MV. Simulated SV in both models was associated with seepage nearly 100 per cent of the time, regardless of PEEP level. During MV without PEEP, seepage occurred in 55 per cent of the adult trials and 100 per cent of the paediatric trials. In contrast, MV with 5 cmH2O PEEP produced seepage rates of 15 per cent in the adult model and 0 per cent in the paediatric model. Compared to trials without PEEP, seepage occurred less frequently, was reduced in amount and delayed in onset. MV with PEEP significantly (p less than 0.05) decreased the incidence of seepage around endotracheal tubes.']",['eng'],"['Adult', 'Child', 'Humans', 'Intubation, Intratracheal/instrumentation', 'Models, Structural', 'Pneumonia, Aspiration/prevention & control', 'Positive-Pressure Respiration', 'Respiration, Artificial']",
M3528178,['Oncogenes and proto-oncogenes.'],,['eng'],"['Cell Line', 'Gene Amplification', 'Humans', 'Leukemia/genetics', 'Neuroblastoma/genetics', 'Oncogene Proteins, Viral/analysis', 'Oncogenes', 'Proto-Oncogene Proteins/analysis', 'Proto-Oncogenes', 'Retroviridae/genetics']","['Oncogene Proteins, Viral', 'Proto-Oncogene Proteins']"
M3536084,['Biochemical mechanisms of oncogene activity: proteins encoded by oncogenes.'],,['eng'],"['Animals', 'Humans', 'Oncogene Proteins, Viral', 'Oncogenes', 'Proto-Oncogene Proteins']","['Oncogene Proteins, Viral', 'Proto-Oncogene Proteins']"
M3537265,['Direct bonding of orthodontic brackets.'],,['eng'],"['Dental Bonding/methods', 'Humans', 'Orthodontic Appliances']",
M3542356,['Infections associated with prosthetic joints.'],,['eng'],"['Anti-Bacterial Agents/therapeutic use', 'Bone Cements', 'Debridement', 'Hip Prosthesis', 'Humans', 'Joint Prosthesis/adverse effects', 'Knee Prosthesis', 'Premedication', 'Staphylococcal Infections/etiology', 'Staphylococcal Infections/therapy', 'Streptococcal Infections/etiology', 'Streptococcal Infections/therapy', 'Surgical Wound Infection/etiology', 'Surgical Wound Infection/therapy']","['Anti-Bacterial Agents', 'Bone Cements']"
M3564608,['Dehnung und Wirkungsweise des Verbandmaterials beim Kompressionsverband.'],"[""Supportive bandages without elasticity (e.g. UNNA's-boats) aid the blood lift into the deep veins. Well-stretching bandages result in a more difficult return into the superficial veins. This may be demonstrated by photoplethysmography (PPG).""]",['ger'],"['Bandages', 'Clothing', 'Elasticity', 'Humans', 'Rheology', 'Varicose Veins/therapy', 'Venous Insufficiency/therapy']",
M3564815,['Lécba zastaralých poranĕní distálního úponu dorzální aponeurózy s abrupcí báze distálního clánku prstu ruky.'],,['cze'],"['Adult', 'Bony Callus/pathology', 'Finger Injuries/pathology', 'Finger Injuries/therapy', 'Humans', 'Joint Dislocations/therapy', 'Ligaments, Articular/injuries', 'Male', 'Rupture', 'Time Factors']",
M3570913,['Statement on nuclear disaster.'],,['eng'],"['Animals', 'Nuclear Warfare', 'Veterinary Medicine']",
M3572432,"['Functional abilities after stroke: measurement, natural history and prognosis.']","['Actual functional performance of 976 acute stroke patients was assessed using the Barthel index: the data were analysed to determine the frequency of disability after stroke, the validity of the Barthel index, and the recovery seen. At 6 months, over 45% of survivors were functionally independent. Validity of the Barthel index was confirmed: it related as expected with motor loss and factor analysis showed a single major factor. The items of the Barthel index form an hierarchical scale. There was some recovery between 3 weeks and 6 months in almost all patients: the major prognostic factors were urinary incontinence, functional ability, sitting balance and age.']",['eng'],"['Activities of Daily Living', 'Cerebrovascular Disorders/rehabilitation', 'Disability Evaluation', 'Humans', 'Prognosis']",
M3574183,['Vitamin use in clinical medicine.'],,['eng'],"['Humans', 'Vitamins/therapeutic use']",['Vitamins']
M3575749,['Clinical approach to dementia.'],,['eng'],"['Dementia/diagnosis', 'Dementia/etiology', 'Dementia/therapy', 'Diagnosis, Differential', 'Humans']",
M3576038,"['""Diastématomyélie partielle"" de l\'adulte avec éperon osseux postérieur.']","['Diastematomyelia is rarely diagnosed in adulthood, and apparently 8 cases only have been reported. We report here a 59 year-old woman who recently experienced backpain with irradiations to lower limbs, mild distal weakness and sphincter disturbances. Diastematomyelia was suspected because of a history of lumbar ""cutaneous malformation"" operated when 4 month old, and a hairy patch over the lumbar spine. C.T. scan showed diastematomyelia and revealed a posterior spur of bone protruding into the sagittal plane from the posterior part of L3 and L4 and dividing the posterior part of the low inserted spinal cord. It appears that, when diastematomyelia has been diagnosed in adulthood, the level of the malformation was lower than when diagnosed in childhood.']",['fre'],"['Female', 'Humans', 'Lumbar Vertebrae/pathology', 'Middle Aged', 'Neural Tube Defects/complications', 'Neural Tube Defects/diagnosis', 'Neural Tube Defects/pathology', 'Spinal Cord/pathology', 'Spinal Osteophytosis/complications', 'Spinal Osteophytosis/pathology']",
M3577227,['Die Frozen shoulder--Ergebnisse einer 10-Jahres-Studie.'],,['ger'],"['Arthritis/diagnosis', 'Combined Modality Therapy', 'Female', 'Humans', 'Joint Diseases/diagnosis', 'Joint Diseases/therapy', 'Male', 'Middle Aged', 'Shoulder Joint']",
M3587110,['Herpes zoster (Gürtelrose).'],,['ger'],"['Acyclovir/therapeutic use', 'Herpes Zoster/drug therapy', 'Herpes Zoster/pathology', 'Humans']",['Acyclovir (X4HES1O11F)']
M3610759,['Nuclear disaster.'],,['eng'],"['Animals', 'Disasters', 'Humans', 'Nuclear Warfare', 'Veterinary Medicine']",
M3612977,['Physicians for Prevention of Nuclear War prepare to consider applications for clinical research.'],,['eng'],"['Accidents', 'Disaster Planning', 'Nuclear Reactors', 'Nuclear Warfare', 'Public Health/economics', 'Ukraine']",
M3613783,['Die Behandlung des Herpes Zoster.'],,['ger'],"['Combined Modality Therapy', 'Herpes Zoster/therapy', 'Humans']",
M3616363,['Aphasie sans amusie chez un organiste aveugle. Alexie-agraphie verbale sans alexie-agraphie musicale en braille.'],"[""A 77 year old right handed male was blind since the age of 2. He presented with an infarction involving the territory of the left middle cerebral artery involving the temporal and the inferior parietal lobes. He had learned to read and write language as well as read and write music in braille, ultimately becoming a famous organist and composer. There were no motor or sensory deficits. Wernicke's aphasia with jargonaphasia, major difficulty in repetition, anomia and a significant comprehension deficit without word deafness was present; verbal alexia and agraphia in braille were also present. There was no evidence of amusia. He could execute in an exemplary fashion pieces of music for the organ in his repertory as well as improvise. All his musical capabilities: transposition, modulation, harmony, rythm, were preserved. The musical notation in braille remained intact: he could read by touch and play unfamiliar scores, he could also read and sing the musical notes, he could copy and write a score. Nine months after the stroke his aphasia remained unchanged. Nevertheless he composed pieces for the organ which were published. Such data highly suggest the independence of linguistic and musical competences, defined as the analysis and organization of sounds according to the rules of music. This independence in an extremely talented musician leads to a discussion of the role of the right hemisphere in the anatomical-functional processes at the origin of musical competence. The use of braille in which the same constellations of dots correspond either to letters of the alphabet or musical notes supports the independence between language and music.""]",['fre'],"['Aged', 'Agraphia/etiology', 'Aphasia/etiology', 'Aphasia, Wernicke/etiology', 'Blindness/physiopathology', 'Brain/physiology', 'Cerebral Infarction/complications', 'Dyslexia, Acquired/etiology', 'Humans', 'Language', 'Male', 'Music', 'Reading', 'Sensory Aids']",
M3619713,['Clinical features of ischemia in cerebral arterial border zones after periods of reduced cerebral blood flow.'],"['The clinical syndrome of border-zone ischemia is described in eight patients. Cerebral damage in four occurred during or after cardiac surgery and the other four patients had each experienced a period of severe hypotension. Cerebral blindness and visual disorientation are the most regular features and are produced by ischemic lesions in the parieto-occipital region, the common border-zone territory between all three arterial territories. Some patients show bibrachial sensorimotor impairment and a disturbance of volitional saccadic eye movement caused by more anteriorly placed ischemia in the anterior-middle artery border zone. Some show a temporary dyslexia/dysgraphia and memory defect related to bilateral parietotemporal lesions in the middle-posterior border zone.']",['eng'],"['Adult', 'Aged', 'Brain Ischemia/diagnostic imaging', 'Brain Ischemia/etiology', 'Brain Ischemia/physiopathology', 'Cardiac Surgical Procedures/adverse effects', 'Cerebral Arteries/physiopathology', 'Cerebral Cortex/diagnostic imaging', 'Cerebral Infarction/diagnostic imaging', 'Cerebral Infarction/etiology', 'Cerebral Infarction/physiopathology', 'Female', 'Humans', 'Male', 'Middle Aged', 'Tomography, X-Ray Computed', 'Vision Disorders/etiology']",
